predicted,original,index
193.39,208,5291
11.79,2,994
394.64,440,2890
196.34,213,5027
155.47,158,15745
295.15,342,7863
105.18,156,4704
141.79,165,8188
308.42,282,15729
106.26,150,1661
163.5,179,9398
104.51,145,3289
43.62,38,608
2.54,10,11278
-6.69,3,9654
81.61,129,6634
142.03,135,11073
-10.6,2,167
63.06,24,4952
246.91,239,13926
391.52,421,11165
88.15,56,2176
54.89,47,748
107.67,153,16061
22.23,9,16067
169.44,197,3399
525.94,514,15734
96.84,91,1486
167.77,151,12171
242.3,31,17243
127.26,123,3684
7.58,20,5427
129.43,220,9189
44.99,40,14712
136.12,152,16036
165.53,144,15195
112.48,156,2701
421.99,402,6929
704.32,738,13539
497.55,528,2684
34.59,31,13150
172.25,183,3231
168.08,248,6078
135.25,151,5581
371.86,334,11793
271.14,229,5817
291.77,231,9737
195.88,130,6824
243.34,213,1613
169.85,141,2321
309.39,301,1772
76.15,23,15361
334.24,455,15981
93.89,33,2122
9.14,6,27
315.95,369,6146
106.49,48,3505
196.03,192,9614
116.67,131,14180
16.83,20,9750
12.9,21,4731
303.76,350,11912
-9.33,3,7332
332.71,368,11246
189.18,199,6526
212.21,222,17296
13.6,15,14664
85.79,79,8492
126.84,115,5663
49.88,29,7307
129.58,155,16217
177.96,157,11717
94.51,67,11810
189.72,217,14633
12.56,8,16878
88.25,69,11973
133.55,90,8917
44.8,36,1969
8.92,14,15095
-13.07,9,3197
-8.54,3,8338
209.09,82,8270
242.78,346,7317
81.41,134,14348
91.31,73,13845
42.51,57,7232
73.87,108,7375
206.11,217,3014
378.91,365,2853
91.51,98,11997
583.86,556,12254
279.72,346,2578
93.61,102,5576
37.21,6,11347
98.0,69,178
54.41,52,1457
187.57,181,15987
33.78,24,1558
53.73,60,2251
258.58,241,13257
36.39,16,6490
61.4,64,297
173.2,177,6115
269.04,297,6120
122.9,25,12841
275.05,247,13953
164.8,80,8533
479.09,503,12530
204.17,197,2531
103.04,20,7122
129.63,145,8180
785.6,857,13741
210.45,222,10736
57.95,90,9634
304.99,275,4170
193.41,213,4430
352.1,522,11198
295.05,254,4980
99.94,82,388
73.68,27,2882
167.78,157,2146
130.79,136,4069
120.86,149,11658
69.28,26,825
157.9,174,12810
330.09,369,6311
89.26,89,8333
275.64,362,11287
92.07,80,17123
173.92,175,5688
166.98,182,16825
249.86,268,17065
158.2,164,13146
157.63,185,6217
200.65,229,13254
206.16,167,4104
117.82,63,13771
101.34,163,15738
446.27,512,8802
497.49,521,2683
434.91,432,10839
27.44,30,299
102.96,148,10459
326.15,315,11572
0.78,12,16354
235.62,226,11392
216.37,178,11811
67.53,23,5632
37.97,19,7209
196.34,170,7942
151.25,115,9112
11.95,5,13320
114.45,165,6237
156.47,121,6068
113.42,180,6213
10.79,28,3247
-12.2,2,1904
227.44,98,1814
28.93,28,15526
164.65,157,2749
82.4,5,10156
-2.91,1,811
315.92,331,13135
86.06,67,1210
141.26,113,13507
15.09,31,2957
115.69,119,9288
158.13,134,3709
530.94,612,15201
316.78,297,12076
315.57,221,3994
15.33,23,2983
4.1,9,11639
393.17,464,15602
89.11,24,11330
233.05,226,16889
86.65,29,8668
36.28,33,13968
87.01,73,4369
231.64,215,15113
138.44,114,13554
295.32,356,8425
469.71,715,13476
253.08,154,10147
209.54,224,7913
13.45,7,993
117.24,147,6704
431.81,466,4090
31.44,51,5477
193.98,236,5559
3.81,33,641
180.87,158,308
4.77,2,9365
64.68,65,6611
11.22,22,14519
9.62,5,624
436.44,221,10741
-15.88,1,190
83.08,40,2210
206.1,175,5961
59.57,78,684
87.61,93,560
464.3,501,12203
378.27,605,10812
504.04,492,6196
331.94,331,16773
394.4,466,7361
378.98,442,14333
-1.46,16,4614
37.78,30,3465
206.29,134,10842
-5.17,10,7547
44.65,33,392
234.81,155,7827
53.73,18,10918
315.44,358,7874
206.86,199,14045
167.86,248,12425
54.8,75,11637
561.81,579,11076
23.43,11,10869
143.03,134,10723
232.41,180,3017
13.14,8,1689
303.8,299,10166
-10.6,2,6709
97.32,118,1194
150.36,134,10148
161.55,154,9884
72.97,24,9887
33.77,36,14136
150.97,90,8545
230.25,276,10928
-4.91,4,3318
-0.59,4,16570
0.91,6,5548
179.27,306,9499
260.35,232,14524
414.01,456,4186
226.7,254,10098
220.35,246,14813
20.64,27,237
293.25,325,2195
317.73,352,12663
188.22,162,2992
315.21,130,11009
23.28,6,5525
57.83,25,8384
29.89,7,1477
65.49,19,8500
32.29,34,8691
198.27,165,9383
298.5,305,13494
70.54,98,999
316.92,232,1102
31.78,3,3029
844.0,849,13212
51.65,63,1165
217.91,260,10450
54.06,66,8121
105.28,130,10209
286.64,294,14096
141.98,137,2104
62.4,62,2123
304.32,305,4960
131.73,87,12858
8.71,4,13414
301.37,303,15752
191.56,238,12593
32.34,31,16668
367.76,380,7897
-1.89,2,16257
375.56,347,3782
108.83,51,15379
395.55,439,2756
63.07,55,14251
307.86,292,13279
109.86,83,10651
119.88,76,5264
234.0,307,10764
169.06,192,5760
63.9,106,16619
68.83,129,1662
202.07,220,8177
247.8,323,10664
102.73,151,3912
21.54,10,6155
120.65,138,6511
285.4,274,14793
239.81,287,2003
7.06,7,15897
198.56,163,2416
191.79,157,1262
37.26,16,8071
179.0,204,16505
61.3,86,9869
181.5,183,3686
89.53,98,444
99.37,115,8712
7.62,10,15287
142.61,161,12721
249.74,238,13618
313.07,332,14719
214.87,155,6307
248.02,282,5073
11.83,23,2789
17.41,23,10945
33.09,47,381
64.47,120,16948
149.87,132,10112
434.97,420,5410
401.93,371,5253
534.45,560,14701
651.6,620,15346
36.38,3,4304
199.34,211,9741
316.51,367,6117
228.47,243,10572
245.4,73,1252
628.29,590,11818
40.24,28,12670
95.06,76,13658
35.62,48,9819
401.59,520,9394
475.51,447,14714
193.17,135,13481
5.2,21,9243
159.23,247,17369
308.81,381,13936
210.35,150,12162
317.56,374,7097
53.27,65,8953
250.06,126,17225
90.49,164,3229
32.68,16,3775
13.2,40,16618
172.64,127,9311
241.74,219,2950
129.37,163,16132
551.38,505,14023
21.64,8,15896
429.03,300,9953
85.15,97,6887
9.6,7,2499
-3.67,9,1882
244.93,363,10974
14.83,24,1784
578.19,591,12278
27.07,20,11712
26.23,3,3558
63.19,69,10462
-1.0,13,3148
15.47,26,4999
190.38,189,15521
119.79,99,296
308.25,338,4982
210.02,173,5111
478.87,388,3898
311.12,282,17030
227.11,361,15150
241.56,172,5716
51.12,45,1441
84.43,64,6474
121.68,88,5629
11.38,14,12356
438.12,553,11774
186.27,219,4043
201.69,253,9832
42.23,45,8596
177.09,120,2952
95.14,73,12306
430.78,336,15542
616.16,582,12878
447.03,432,4066
146.06,149,4752
179.67,203,7365
153.62,124,9711
176.16,207,5948
194.59,163,11526
151.99,109,8810
173.5,187,7224
85.44,146,15500
55.51,29,6473
73.38,89,9200
158.15,65,40
64.2,3,16474
71.98,47,2602
84.97,44,9755
196.54,215,7104
159.73,168,7542
509.47,494,3403
10.22,52,8648
8.6,3,1624
7.07,2,13054
153.7,152,2927
161.82,228,7218
3.42,4,1159
4.48,7,14254
234.92,270,2757
206.37,233,14093
12.12,19,15813
57.07,86,678
53.18,42,10492
188.3,29,1110
534.51,594,3067
208.72,212,11153
105.96,125,10580
210.77,121,5586
816.47,704,11604
330.55,171,14676
162.89,44,8496
-2.33,5,2884
185.4,239,11994
-5.87,8,1089
7.23,15,9868
815.24,834,14389
109.92,89,107
-3.55,4,3389
295.69,308,11218
11.27,30,51
392.13,434,3021
411.22,425,3010
24.87,11,8127
532.4,457,11000
-19.68,7,409
-1.02,5,3942
-8.75,3,5310
93.14,86,3649
1.45,8,3364
291.88,391,4645
136.45,166,13386
35.8,35,2018
297.49,271,15441
0.64,6,16378
180.42,187,6335
94.42,90,9893
225.14,261,6534
232.51,213,15908
485.49,538,3860
-17.41,2,1202
31.69,35,1328
306.27,404,6316
58.03,60,749
73.74,110,934
126.59,110,9140
-8.55,3,8460
371.73,399,12327
2.98,6,13559
30.62,53,475
475.21,488,4555
190.28,143,3778
43.14,30,220
207.44,38,11227
1.69,9,10343
73.57,73,8128
145.01,160,12073
861.22,766,15564
226.07,234,9512
15.07,12,7042
103.51,61,2365
78.95,91,9659
291.52,334,16886
182.94,175,6283
228.6,201,16993
141.14,143,9397
273.42,347,2941
221.56,249,439
10.36,3,3846
40.81,32,1812
-12.02,1,1505
56.39,57,6952
158.04,147,1149
91.06,78,4275
146.78,98,4824
30.05,24,15529
182.06,107,17015
58.24,80,10152
241.79,247,14934
140.3,150,1917
205.2,198,9447
144.24,126,7985
456.28,512,13274
36.87,6,15549
280.15,343,5193
7.03,6,13512
315.66,348,11935
192.9,123,15208
335.44,129,10453
128.35,207,8610
62.06,8,8
-20.63,9,786
85.88,71,777
67.33,50,1396
117.22,33,10868
376.85,518,11673
301.95,284,3537
85.37,35,16091
261.52,279,9369
460.1,358,13451
293.54,390,15439
128.86,91,10412
22.26,4,10298
212.25,230,5399
312.03,298,14191
189.38,190,5615
40.32,52,16613
385.59,424,15320
41.79,31,219
83.58,98,11586
281.53,267,15297
150.59,152,1684
400.98,440,3618
115.6,122,16479
231.28,164,4991
45.96,62,7978
608.41,233,15661
359.25,233,7562
119.17,131,2532
120.16,118,16069
178.29,198,16288
87.82,52,7076
280.47,249,6353
214.56,354,13496
416.33,429,8080
87.53,117,14660
178.61,183,4224
131.02,121,8469
812.27,877,13573
476.27,546,13999
1.83,6,17097
280.14,288,14384
196.25,209,10855
68.04,28,3608
282.06,102,10073
412.04,347,4666
161.68,139,16360
93.24,59,2794
461.01,499,12510
132.34,121,11610
41.3,24,2571
360.18,237,5886
389.95,372,7169
2.2,3,11542
384.32,451,3616
78.03,94,8119
-2.45,5,8861
302.97,260,15415
452.99,421,13538
66.81,46,7809
119.37,109,10252
5.7,7,12743
76.6,8,5637
266.37,270,13786
321.83,499,2777
255.16,228,12449
284.92,310,15608
284.04,234,14600
303.94,185,3623
6.55,9,15071
88.03,119,1607
5.83,4,14087
137.88,127,3012
180.05,150,7847
412.0,497,13666
191.8,173,5414
34.37,89,6132
196.67,150,12773
56.9,165,15992
339.87,493,3278
77.47,2,8818
472.87,451,13883
237.66,205,5267
35.1,30,12505
369.62,420,3614
-3.39,3,16426
0.39,3,16617
46.92,38,592
-0.95,3,12071
295.82,269,4270
48.33,25,5882
56.03,58,2054
307.71,342,5732
158.47,175,3521
525.67,612,15678
155.56,226,10193
19.81,31,8265
503.78,442,16701
708.12,798,15459
236.91,311,15831
236.44,233,1496
171.72,139,270
283.96,54,12907
162.32,78,14513
147.95,128,2892
524.33,536,14318
498.68,468,15107
16.21,9,4229
182.46,229,9214
89.72,103,1170
9.54,31,215
225.2,281,10857
39.63,29,13104
151.9,94,10135
80.22,115,13341
72.78,37,6346
368.42,358,16893
188.71,248,2752
18.74,21,6998
347.23,336,12039
52.33,108,16159
523.12,532,15098
63.24,20,7904
196.2,209,6067
186.52,222,6074
-15.67,1,303
192.21,198,7030
251.94,253,5836
106.63,121,6368
118.94,135,8786
862.79,976,14964
94.51,86,1050
80.04,54,260
60.91,56,5897
13.67,2,29
32.54,35,8622
186.43,171,11885
449.99,481,15467
354.4,448,15826
18.86,18,10659
182.08,203,6097
84.32,80,2247
12.81,20,17094
151.36,152,14466
11.3,28,7238
180.16,300,9470
258.92,267,2181
190.88,212,9549
-13.33,1,5
281.37,263,13761
37.8,20,5844
278.37,372,7293
80.43,45,1333
231.94,37,7755
188.43,181,2699
-2.19,4,16616
32.29,45,910
-9.74,4,7068
85.49,124,9087
10.1,17,7718
-2.76,6,9507
222.01,226,9441
445.55,154,16465
593.08,594,15200
4.38,20,619
417.97,383,11678
99.68,120,6717
208.43,210,3374
78.97,63,1236
467.62,284,4772
-20.08,1,856
53.45,70,8570
21.35,5,5143
116.37,45,15138
-0.12,6,6662
46.19,35,264
120.13,168,16310
36.09,45,11158
3.76,5,3676
331.24,397,13600
404.63,352,10504
10.23,16,2286
191.24,225,13337
427.25,483,13058
-19.55,1,1317
-2.22,3,10513
207.26,201,10282
80.27,63,1947
254.9,253,6940
113.3,45,3386
239.75,214,12497
374.55,444,3284
267.9,260,13950
90.13,76,39
164.86,134,9455
208.12,231,13589
168.25,180,14713
366.39,339,11846
418.97,454,3538
67.89,50,1782
114.36,162,17293
18.62,13,14856
135.25,43,14546
2.46,2,9655
87.44,62,2816
23.26,42,113
76.44,10,16090
-1.63,23,3462
23.71,5,5526
400.42,383,2541
451.01,528,10015
236.38,198,3166
91.47,112,1991
112.21,129,2511
156.27,137,8277
39.56,45,6612
174.34,194,10113
565.91,623,11172
230.2,239,11047
234.72,254,7192
162.56,223,2750
-14.9,3,2862
135.41,106,17018
60.14,96,4468
100.86,283,16063
192.14,196,5715
221.44,122,1826
306.41,247,15351
-6.19,3,17312
225.46,180,13987
195.43,238,15798
152.67,126,5904
136.41,104,8535
27.12,27,10774
83.24,157,9467
75.96,117,3368
72.18,58,13915
118.61,18,17207
252.71,370,3873
109.5,122,9968
393.78,398,13034
277.7,223,10093
120.41,167,6104
667.63,681,12435
153.14,96,11131
164.78,130,5268
22.97,13,16447
391.63,590,10976
64.67,43,2458
114.91,102,15307
356.04,323,11703
272.5,396,2876
57.98,101,8400
55.6,64,650
157.04,167,3209
9.73,29,8525
252.2,262,15957
70.94,49,4058
41.81,44,13272
452.41,415,12098
-10.49,3,17359
148.39,42,3554
272.35,299,3657
163.26,188,217
94.62,80,12481
225.62,233,4103
334.42,447,16461
436.68,423,9212
13.0,25,3367
66.26,77,2112
18.6,17,13125
