instant,date,season,hr,holiday,weekday,workingday,weather,temp,atemp,hum,windspeed,casual,registered,cnt,month,year,index
1,2011-01-01,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,1,2011,0
2,2011-01-01,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,1,2011,1
3,2011-01-01,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,1,2011,2
4,2011-01-01,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,1,2011,3
5,2011-01-01,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,1,2011,4
6,2011-01-01,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,1,2011,5
7,2011-01-01,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,1,2011,6
8,2011-01-01,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,1,2011,7
9,2011-01-01,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,1,2011,8
10,2011-01-01,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,1,2011,9
11,2011-01-01,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,1,2011,10
12,2011-01-01,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,1,2011,11
13,2011-01-01,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,1,2011,12
14,2011-01-01,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,1,2011,13
15,2011-01-01,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,1,2011,14
16,2011-01-01,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,1,2011,15
17,2011-01-01,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,1,2011,16
18,2011-01-01,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,1,2011,17
19,2011-01-01,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,1,2011,18
20,2011-01-01,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,1,2011,19
21,2011-01-01,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,1,2011,20
22,2011-01-01,1,21,0,6,0,2,0.4,0.4091,0.87,0.19399999999999998,3,31,34,1,2011,21
23,2011-01-01,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,1,2011,22
24,2011-01-01,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,1,2011,23
25,2011-01-02,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,1,2011,24
26,2011-01-02,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,1,2011,25
27,2011-01-02,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,1,2011,26
28,2011-01-02,1,3,0,0,0,2,0.46,0.4545,0.94,0.19399999999999998,2,4,6,1,2011,27
29,2011-01-02,1,4,0,0,0,2,0.46,0.4545,0.94,0.19399999999999998,2,1,3,1,2011,28
30,2011-01-02,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,1,2011,29
31,2011-01-02,1,7,0,0,0,2,0.4,0.4091,0.76,0.19399999999999998,0,1,1,1,2011,30
32,2011-01-02,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,1,2011,31
33,2011-01-02,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,1,2011,32
34,2011-01-02,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,1,2011,33
35,2011-01-02,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,1,2011,34
36,2011-01-02,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,1,2011,35
37,2011-01-02,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,1,2011,36
38,2011-01-02,1,14,0,0,0,3,0.36,0.3485,0.76,0.19399999999999998,4,55,59,1,2011,37
39,2011-01-02,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,1,2011,38
40,2011-01-02,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,1,2011,39
41,2011-01-02,1,17,0,0,0,1,0.34,0.3333,0.57,0.19399999999999998,7,58,65,1,2011,40
42,2011-01-02,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,1,2011,41
43,2011-01-02,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,1,2011,42
44,2011-01-02,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,1,2011,43
45,2011-01-02,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,1,2011,44
46,2011-01-02,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,1,2011,45
47,2011-01-02,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,1,2011,46
48,2011-01-03,1,0,0,1,1,1,0.22,0.19699999999999998,0.44,0.3582,0,5,5,1,2011,47
49,2011-01-03,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,1,2011,48
50,2011-01-03,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,1,2011,49
51,2011-01-03,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,1,2011,50
52,2011-01-03,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,1,2011,51
53,2011-01-03,1,7,0,1,1,1,0.14,0.1364,0.5,0.19399999999999998,1,63,64,1,2011,52
54,2011-01-03,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,1,2011,53
55,2011-01-03,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,1,2011,54
56,2011-01-03,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,1,2011,55
57,2011-01-03,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,1,2011,56
58,2011-01-03,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,1,2011,57
59,2011-01-03,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,1,2011,58
60,2011-01-03,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,1,2011,59
61,2011-01-03,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,1,2011,60
62,2011-01-03,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,1,2011,61
63,2011-01-03,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,1,2011,62
64,2011-01-03,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,1,2011,63
65,2011-01-03,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,1,2011,64
66,2011-01-03,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,1,2011,65
67,2011-01-03,1,21,0,1,1,1,0.18,0.19699999999999998,0.64,0.1343,3,49,52,1,2011,66
68,2011-01-03,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,1,2011,67
69,2011-01-03,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,1,2011,68
70,2011-01-04,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,1,2011,69
71,2011-01-04,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,1,2011,70
72,2011-01-04,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,1,2011,71
73,2011-01-04,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,1,2011,72
74,2011-01-04,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,1,2011,73
75,2011-01-04,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,1,2011,74
76,2011-01-04,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,1,2011,75
